hostid              InversePageRank              outdegree              indegree
6821              0.017309459                         5994                            16
2350              0.014784123                         5669                            15
6226              0.013598632                         4595                            34
6268              0.0124098975                         4788                            62
2083              0.012253462                         4701                            40
5460              0.010210707                         2801                            33
1690              0.009761574                         3062                            21
10836              0.00973559                         4592                            31
2607              0.009617905                         3236                            13
4050              0.009550079                         2818                            51
5554              0.008664212                         1730                            26
9963              0.008611014                         1727                            42
9709              0.008050915                         4033                            15
1892              0.0077073                         524                            3
5169              0.007654304                         1554                            54
6882              0.0074595963                         1589                            16
8345              0.0071181674                         4634                            241
9002              0.0070522735                         1397                            31
5189              0.0066452646                         2161                            29
7449              0.006240756                         1389                            37
9255              0.0059842914                         1115                            135
8407              0.005933348                         881                            65
2229              0.0058388095                         2879                            45
4033              0.0058026053                         1091                            36
4363              0.0055736257                         1549                            115
5237              0.0053804535                         1102                            50
6002              0.005343549                         516                            1
6423              0.0053238026                         1218                            47
11026              0.0053166696                         871                            32
8717              0.0052606086                         1713                            22
4365              0.0048746667                         1550                            44
3257              0.004817952                         1633                            84
8649              0.00481315                         1719                            35
9731              0.0045381454                         2139                            42
1795              0.004008358                         3165                            0
6887              0.0039127013                         1236                            51
5492              0.0039020875                         1196                            31
6396              0.0038797585                         2506                            351
9724              0.003859183                         695                            22
4367              0.0038056937                         691                            92
5618              0.0037989363                         403                            31
8013              0.0037342296                         587                            50
6831              0.0036870972                         1745                            43
6531              0.0035824142                         1105                            20
9856              0.0035101743                         1147                            62
4869              0.0034715028                         1053                            55
11277              0.0033941332                         1149                            37
5119              0.0033788579                         1261                            60
2893              0.0032984705                         399                            29
9711              0.0031439376                         1610                            99
9424              0.003112717                         1316                            58
4870              0.002915622                         1643                            59
8439              0.0028318472                         473                            44
7069              0.0028052812                         1434                            39
7998              0.0026646003                         346                            26
6623              0.0026034983                         1188                            47
10077              0.0025500394                         1430                            78
7422              0.002472767                         1655                            70
5799              0.0024708882                         781                            27
6729              0.0024660018                         822                            49
4871              0.0023726067                         1334                            55
9716              0.0023565455                         1803                            123
4371              0.0023387133                         1642                            7
4372              0.0023026569                         1355                            38
9735              0.0022715528                         1878                            156
9862              0.002260148                         1313                            46
6301              0.0022170907                         752                            32
10751              0.0021946752                         1067                            53
4272              0.002193999                         99                            27
5095              0.0021406822                         1062                            53
6777              0.002125914                         965                            39
11254              0.0021107073                         203                            31
4470              0.001998786                         338                            21
7954              0.0019531439                         756                            38
6734              0.0019209052                         428                            13
7976              0.0018813163                         152                            23
4321              0.0018725151                         1449                            52
10935              0.0018717481                         2484                            273
7986              0.0018703715                         324                            29
5457              0.0018577365                         1241                            41
9466              0.0018493613                         1089                            19
10903              0.0018492185                         312                            30
10547              0.0017910801                         400                            47
4447              0.0017616908                         199                            59
7257              0.0017232829                         139                            19
7953              0.0017223388                         702                            13
7567              0.0017162812                         1147                            9
7650              0.001708039                         225                            17
6129              0.00168019                         1393                            1
7448              0.0016588571                         829                            31
7964              0.0016462783                         710                            35
10070              0.0016397104                         165                            19
2620              0.0016219489                         2100                            55
4945              0.0016056937                         112                            40
7967              0.0015921899                         63                            26
11266              0.001589155                         377                            46
4909              0.0015639511                         984                            55
5808              0.0015552375                         937                            51
3504              0.0015542012                         914                            52
8131              0.0015497566                         239                            82
10551              0.0015408659                         922                            79
9581              0.0015192216                         147                            51
7662              0.0015178175                         2095                            84
4340              0.0015123439                         263                            35
1793              0.0015083164                         2275                            61
6714              0.0014905209                         168                            36
7569              0.0014895813                         124                            39
6427              0.0014766618                         158                            54
5031              0.0014715039                         292                            21
8953              0.0014654065                         141                            44
10970              0.0014579418                         2515                            68
10670              0.0014569014                         532                            157
5520              0.0014488737                         501                            10
3513              0.0014462882                         617                            61
8889              0.0014443557                         125                            72
11258              0.001435205                         912                            58
6992              0.0014322988                         147                            56
1099              0.00143204                         283                            35
5906              0.0014169533                         954                            64
4944              0.0014164859                         189                            56
2637              0.0013786107                         122                            32
10286              0.0013700607                         140                            42
6428              0.0013680096                         83                            83
7971              0.001367901                         292                            28
6414              0.0013659955                         445                            5
6426              0.0013229252                         74                            88
7215              0.0013199588                         258                            32
9050              0.0013196109                         81                            41
6993              0.0013150127                         56                            67
2734              0.0013086958                         121                            29
7723              0.0012945735                         162                            28
7981              0.0012747693                         656                            28
5029              0.0012468471                         287                            58
7446              0.0012212375                         194                            20
7692              0.0012198724                         170                            59
3690              0.0012160457                         1411                            42
4946              0.0012117565                         33                            38
7961              0.0011850091                         397                            34
11028              0.0011820189                         1829                            50
1105              0.0011808645                         763                            44
4273              0.0011738703                         439                            20
5905              0.001161365                         383                            49
9484              0.0011574168                         62                            2
11142              0.0011547495                         189                            15
4268              0.0011504944                         537                            25
6875              0.0011397959                         377                            20
5255              0.001130027                         439                            38
4640              0.001122051                         197                            26
6713              0.0011212765                         85                            20
4749              0.0011183189                         1625                            141
7959              0.0011150509                         19                            11
5732              0.0010936431                         262                            28
7985              0.001069438                         97                            18
9258              0.0010630597                         1921                            34
10701              0.0010466754                         140                            57
10718              0.0010377112                         1383                            17
2719              0.0010350058                         1193                            13
8371              0.0010299382                         194                            13
11043              0.0010299012                         170                            18
3971              0.0010267406                         410                            170
2226              0.0010235687                         417                            58
11000              0.0010171328                         238                            9
11267              9.741461E-4                         157                            51
11256              9.5048244E-4                         509                            33
2894              9.4840914E-4                         75                            21
10979              9.454564E-4                         677                            144
4361              9.441721E-4                         205                            82
9763              9.42481E-4                         189                            43
3124              9.0304296E-4                         259                            2
9712              8.9251535E-4                         930                            44
10599              8.7381375E-4                         176                            14
7700              8.734941E-4                         172                            27
11265              8.7112724E-4                         422                            41
7974              8.695159E-4                         5                            10
6747              8.6417526E-4                         122                            19
468              8.615091E-4                         589                            29
10041              8.517045E-4                         641                            64
1489              8.4796443E-4                         501                            1
3666              8.3676935E-4                         109                            13
8008              8.251126E-4                         207                            26
4539              8.209289E-4                         56                            40
10928              8.173463E-4                         136                            13
2230              8.022705E-4                         378                            40
1257              8.018429E-4                         182                            13
7972              7.9888635E-4                         216                            25
4370              7.9843524E-4                         400                            12
8380              7.9798774E-4                         212                            24
8427              7.9439016E-4                         188                            24
9501              7.919302E-4                         198                            5
5239              7.844608E-4                         169                            56
4368              7.718811E-4                         627                            4
