hostid              PageRank              outdegree              indegree
8901              0.0039094524              93                         889
4520              0.0034945598              885                         2750
5836              0.0030518798              474                         1561
6006              0.0027094437              364                         1747
7146              0.002620294              115                         595
5803              0.0023267188              499                         1440
7147              0.0022451233              15                         1398
7332              0.0020696332              41                         102
5876              0.002043452              2                         933
2935              0.0019954531              740                         503
5843              0.001985654              19                         1048
4044              0.0019159818              7                         825
8831              0.0018903912              319                         927
7667              0.0018868704              13                         311
7426              0.0016893758              1                         1029
5764              0.001679287              215                         646
2958              0.001634077              995                         1776
4951              0.001520537              122                         374
7835              0.0015076413              1                         955
8981              0.0014776958              207                         1122
6042              0.0014764797              127                         945
5840              0.0014730871              273                         814
7140              0.0014094452              167                         939
6471              0.0013933481              67                         927
6680              0.0013711173              59                         707
7272              0.0013403489              222                         1177
7413              0.0013290766              1                         803
10136              0.0013017405              162                         1222
7192              0.0012918357              76                         1027
9674              0.0012794831              307                         813
10183              0.0012760839              10                         1214
6971              0.0011713365              628                         1349
6907              0.0011499627              38                         1116
10628              0.0011462133              57                         389
8832              0.0011250403              141                         519
4547              0.0011162345              338                         524
6292              0.0011112487              101                         1130
5699              0.0010889868              263                         860
8574              0.0010625903              491                         624
6110              0.0010402598              15                         185
6353              0.0010320015              213                         541
8845              0.0010122921              62                         730
4672              9.898886E-4              720                         1066
8695              9.816808E-4              119                         1011
8579              9.59104E-4              220                         1195
9513              9.521204E-4              238                         910
8582              9.310439E-4              95                         864
5756              9.2591293E-4              1                         617
6270              9.224175E-4              148                         949
5952              8.8886806E-4              4                         773
10345              8.867005E-4              412                         886
6113              8.6870487E-4              8                         613
8893              8.666612E-4              0                         868
10371              8.6279085E-4              134                         619
8689              8.584423E-4              1                         623
2215              8.4257533E-4              3                         63
4407              8.252004E-4              346                         622
5355              8.0907845E-4              18                         581
10762              8.078242E-4              1                         593
5612              7.9249794E-4              115                         764
10320              7.89424E-4              655                         669
11017              7.6980726E-4              1                         102
9312              7.6398527E-4              89                         513
3028              7.6008035E-4              35                         215
4063              7.5724715E-4              139                         647
7143              7.2721083E-4              82                         273
864              7.089491E-4              1                         57
10589              7.042867E-4              322                         620
7866              7.0350117E-4              482                         599
6296              6.923419E-4              80                         685
8311              6.8862736E-4              47                         204
11243              6.8401947E-4              1309                         1013
6040              6.838111E-4              17                         577
7142              6.835654E-4              2                         501
4950              6.830829E-4              1                         528
1477              6.803652E-4              11                         135
5576              6.753459E-4              244                         665
9329              6.749374E-4              185                         630
3168              6.7121506E-4              0                         245
3644              6.6405605E-4              1                         10
7267              6.6245656E-4              131                         571
7605              6.600958E-4              432                         734
6311              6.55974E-4              133                         883
7822              6.549205E-4              955                         975
4624              6.4836704E-4              90                         771
8844              6.4500544E-4              49                         767
6608              6.416806E-4              169                         640
8810              6.330308E-4              177                         715
7072              6.325267E-4              268                         800
9789              6.282439E-4              1070                         971
4947              6.219581E-4              31                         243
6627              6.2070775E-4              161                         663
6271              6.111941E-4              193                         582
8099              6.037331E-4              171                         641
6344              6.034858E-4              588                         801
4332              6.030566E-4              160                         590
7798              5.985987E-4              1                         355
8055              5.948465E-4              377                         507
3514              5.912358E-4              7                         99
7399              5.8576436E-4              289                         370
8892              5.849974E-4              461                         908
2960              5.758923E-4              19                         597
7091              5.733378E-4              1363                         738
7136              5.671433E-4              60                         383
10666              5.6347955E-4              874                         915
9561              5.598205E-4              98                         630
511              5.570497E-4              10                         120
8122              5.556035E-4              201                         503
11233              5.547441E-4              0                         818
4079              5.5069337E-4              95                         507
6788              5.5062684E-4              498                         595
3255              5.5015873E-4              15                         130
8088              5.463614E-4              2                         31
8562              5.459718E-4              57                         220
8943              5.454695E-4              141                         656
7079              5.442111E-4              87                         549
5390              5.4330827E-4              24                         75
8849              5.425528E-4              87                         316
1998              5.411648E-4              820                         880
7377              5.393722E-4              78                         557
10450              5.358085E-4              332                         564
5517              5.353168E-4              142                         473
8692              5.3409504E-4              190                         653
6174              5.331257E-4              64                         178
4450              5.3276186E-4              12                         598
10249              5.31032E-4              0                         455
2992              5.2993314E-4              363                         543
4065              5.2875414E-4              60                         137
10025              5.2795256E-4              928                         791
1222              5.2625494E-4              9                         131
8340              5.237628E-4              144                         685
5529              5.2358944E-4              55                         350
5583              5.226035E-4              1                         492
8693              5.1999744E-4              316                         627
5207              5.1426346E-4              157                         480
9548              5.138938E-4              176                         712
6394              5.137258E-4              507                         973
7378              5.1276665E-4              8                         760
3988              5.1274046E-4              64                         463
10659              5.123101E-4              59                         802
6602              5.120821E-4              103                         195
6599              5.1004067E-4              247                         738
5838              5.0854165E-4              105                         496
3956              5.0818437E-4              865                         688
10318              5.0737377E-4              231                         250
7116              5.070381E-4              80                         498
9514              5.0702016E-4              95                         658
8487              5.0694664E-4              100                         612
7661              5.055523E-4              978                         800
10631              5.0376524E-4              316                         655
9625              5.004811E-4              115                         394
1777              5.0006947E-4              5                         73
5891              4.9732375E-4              0                         529
2919              4.952048E-4              2                         51
7642              4.9220043E-4              82                         603
