id out in
0 0 1
1 0 5
2 2 6
3 1 3
4 9 6
5 2 8
6 23 4
7 2 0
8 3 1
9 1 1
10 8 8
11 7 2
12 0 2
13 0 3
14 4 5
15 0 3
16 1 7
17 1 3
18 1 4
19 1 4
20 1 14
21 1 0
22 0 1
23 1 11
24 0 4
25 0 4
26 0 4
27 315 44
28 0 1
29 0 8
30 0 33
31 0 43
32 0 3
33 2 3
34 3 3
35 25 1
36 3 38
37 1 3
38 0 2
39 0 7
40 0 1
41 0 2
42 0 6
43 5 3
44 1 3
45 0 3
46 0 4
47 10 19
48 1 2
49 1 0
50 1 2
51 10 44
52 7 7
53 5 44
54 34 74
55 3 5
56 0 18
57 1 3
58 2 1
59 6 23
60 15 2
61 2 7
62 1 11
63 1 20
64 1 0
65 6 7
66 1 2
67 74 2
68 2 3
69 1 0
70 1 2
71 1 0
72 3 1
73 1 3
74 0 1
75 1 3
76 1 1
77 1 1
78 5 3
79 0 10
80 0 2
81 0 0
82 0 3
83 1 1
84 1 6
85 0 3
86 1 9
87 1 14
88 0 1
89 0 0
90 5 29
91 0 0
92 0 0
93 1 1
94 0 2
95 0 4
96 0 4
97 3 2
98 1 4
99 13 20
100 1 1
101 4 4
102 3 16
103 4 9
104 0 3
105 0 5
106 1 0
107 0 5
108 110 36
109 11 7
110 0 6
111 1 5
112 2 2
113 1 6
114 32 25
115 1 5
116 1 5
117 0 3
118 1 8
119 0 1
120 6 6
121 0 22
122 0 3
123 2 7
124 1 1
125 11 1
126 10 21
127 0 6
128 1 3
129 0 0
130 0 1
131 1 8
132 0 18
133 6 7
134 4 5
135 25 38
136 1 3
137 0 6
138 0 4
139 16 15
140 1 5
141 11 8
142 0 8
143 2 4
144 2 8
145 1 5
146 1 9
147 24 3
148 21 10
149 0 3
150 33 153
151 0 7
152 5 10
153 0 7
154 11 15
155 1 0
156 24 8
157 0 4
158 0 9
159 35 33
160 1 18
161 1 2
162 0 0
163 60 162
164 0 6
165 2 1
166 0 4
167 0 1
168 1 19
169 0 2
170 3 3
171 0 1
172 1 3
173 257 2
174 18 12
175 1 0
176 14 3
177 0 4
178 1 1
179 1 2
180 2 7
181 0 0
182 80 107
183 4 6
184 0 1
185 63 13
186 2 0
187 1 0
188 0 9
189 1 4
190 0 0
191 3 4
192 0 12
193 1 4
194 1 0
195 5 42
196 5 1
197 0 1
198 0 13
199 1 6
200 0 4
201 1 12
202 159 142
203 0 0
204 56 35
205 158 293
206 0 4
207 0 1
208 9 20
209 0 3
210 1 2
211 9 3
212 0 6
213 1 0
214 2 8
215 0 19
216 2 3
217 0 4
218 1 4
219 1 4
220 292 35
221 2 0
222 1 5
223 1 19
224 0 3
225 1 3
226 0 11
227 1 6
228 1 6
229 1 4
230 0 11
231 0 6
232 2 8
233 2 5
234 0 2
235 0 0
236 2 4
237 0 2
238 0 12
239 0 1
240 0 0
241 1 0
242 1 0
243 4 39
244 0 2
245 9 21
246 6 2
247 0 6
248 0 1
249 1 5
250 0 2
251 0 1
252 7 1
253 8 2
254 3 1
255 7 1
256 0 14
257 3 2
258 1 0
259 3 5
260 6 1
261 6 1
262 3 1
263 8 3
264 7 2
265 6 1
266 0 6
267 0 0
268 4 8
269 5 26
270 3 0
271 8 34
272 0 2
273 3 1
274 0 1
275 1 25
276 2 13
277 60 19
278 0 1
279 0 26
280 0 0
281 0 1
282 0 0
283 0 0
284 1 2
285 0 3
286 1 1
287 0 0
288 8 41
289 214 78
290 1 3
291 10 9
292 0 9
293 1 2
294 1 0
295 1 9
296 0 1
297 0 2
298 0 79
299 15 13
300 0 10
301 309 46
302 1 0
303 6 6
304 0 2
305 1 6
306 16 1
307 0 0
308 0 2
309 314 43
310 60 33
311 0 0
312 6 6
313 0 0
314 5 6
315 0 2
316 0 4
317 1 4
318 0 5
319 0 7
320 0 1
321 2 4
322 1 29
323 101 25
324 1 3
325 1 0
326 0 0
327 0 6
328 0 9
329 1 2
330 1 0
331 2 1
332 0 4
333 0 2
334 0 3
335 2 1
336 0 3
337 26 6
338 12 9
339 1 4
340 4 6
341 1 0
342 0 0
343 0 8
344 0 0
345 0 0
346 2 0
347 0 0
348 1 0
349 2 3
350 0 0
351 310 38
352 2 9
353 0 2
354 8 6
355 2 1
356 0 30
357 65 49
358 0 5
359 1 0
360 1 9
361 4 4
362 7 4
363 0 2
364 0 9
365 9 5
366 0 0
367 0 13
368 13 1
369 11 1
370 13 1
371 7 21
372 23 55
373 0 0
374 13 19
375 129 38
376 1 0
377 1 0
378 0 3
379 0 0
380 2 1
381 0 8
382 6 12
383 0 0
384 0 1
385 2 2
386 1 1
387 13 33
388 9 2
389 0 15
390 84 39
391 4 3
392 0 0
393 0 0
394 1 2
395 1 2
396 41 16
397 0 6
398 2 7
399 2 6
400 88 10
401 20 7
402 3 38
403 123 1
404 242 30
405 244 100
406 23 40
407 154 51
408 4 9
409 2 2
410 3 6
411 65 48
412 1 26
413 1 1
414 1 3
415 3 9
416 0 7
417 1 8
418 0 4
419 0 0
420 1 1
421 5 1
422 0 2
423 0 1
424 1 2
425 0 5
426 1 1
427 7 4
428 1 1
429 0 8
430 0 10
431 0 1
432 2 2
433 0 2
434 0 4
435 0 4
436 0 5
437 127 103
438 0 1
439 1 1
440 0 5
441 10 2
442 1 1
443 19 19
444 19 8
445 0 9
446 252 51
447 1 8
448 10 15
449 1 5
450 46 50
451 12 26
452 0 1
453 0 7
454 1 6
455 5 23
456 1 0
457 1 2
458 0 5
459 0 3
460 0 3
461 22 21
462 0 10
463 0 4
464 0 4
465 0 0
466 0 0
467 2 11
468 589 29
469 0 1
470 1 2
471 1 5
472 1 9
473 0 4
474 574 87
475 67 53
476 2 12
477 0 1
478 0 0
479 0 1
480 1 1
481 0 4
482 39 30
483 0 0
484 77 26
485 0 0
486 0 9
487 13 12
488 0 7
489 0 5
490 1 1
491 0 3
492 0 2
493 1 2
494 1 4
495 0 0
496 0 1
497 1 1
498 2 2
499 588 299
500 1 30
501 26 16
502 7 11
503 1 0
504 0 10
505 33 3
506 1 13
507 0 40
508 3 13
509 0 2
510 0 2
511 10 120
512 0 4
513 3 1
514 0 2
515 1 4
516 1 6
517 0 4
518 0 5
519 0 25
520 0 2
521 0 7
522 0 0
523 17 4
524 0 34
525 1 4
526 1 0
527 4 2
528 6 0
529 1 1
530 7 5
531 1 4
532 2 4
533 5 3
534 0 1
535 0 3
536 1 7
537 1 7
538 100 25
539 0 7
540 317 45
541 0 3
542 0 4
543 6 1
544 1 1
545 0 0
546 49 26
547 13 2
548 9 1
549 13 2
550 0 5
551 2 5
552 0 4
553 1 6
554 1 4
555 1 6
556 4 4
557 64 68
558 1 19
559 0 6
560 1 6
561 2 0
562 7 9
563 1 0
564 2 1
565 304 44
566 0 2
567 3 2
568 1 8
569 0 0
570 20 19
571 1 4
572 0 3
573 0 1
574 0 15
575 1 0
576 0 18
577 0 31
578 1 28
579 1 4
580 0 1
581 0 1
582 1 7
583 0 4
584 1 5
585 1 6
586 0 4
587 0 1
588 0 1
589 1 0
590 0 6
591 0 7
592 1 3
593 4 1
594 1 1
595 6 11
596 1 13
597 4 2
598 0 4
599 0 6
600 0 11
601 1 1
602 1 13
603 1 4
604 1 0
605 46 93
606 0 0
607 21 20
608 2 6
609 0 4
610 1 5
611 1 2
612 0 7
613 13 1
614 0 0
615 1 21
616 2 0
617 0 6
618 5 1
619 2 9
620 2 3
621 1 2
622 1 164
623 0 3
624 0 3
625 2 1
626 0 11
627 1 7
628 1 3
629 0 3
630 6 2
631 0 2
632 5 1
633 112 36
634 0 4
635 0 5
636 4 12
637 0 11
638 3 3
639 36 9
640 0 2
641 1 0
642 6 1
643 0 6
644 2 4
645 13 12
646 0 1
647 0 12
648 0 4
649 1 0
650 1 3
651 1 12
652 19 6
653 33 1
654 1 0
655 0 9
656 0 6
657 0 8
658 1 0
659 0 6
660 0 4
661 106 38
662 75 70
663 129 59
664 66 35
665 94 72
666 66 42
667 91 53
668 95 40
669 163 79
670 106 20
671 100 62
672 78 55
673 62 44
674 85 41
675 69 35
676 67 31
677 71 36
678 61 27
679 63 38
680 81 48
681 87 54
682 0 2
683 0 5
684 2 12
685 0 6
686 151 43
687 1 0
688 0 1
689 0 8
690 0 0
691 1 0
692 0 0
693 0 5
694 1 0
695 5 4
696 1 0
697 0 2
698 1 2
699 1 1
700 4 0
701 2 0
702 0 0
703 3 6
704 1 5
705 0 5
706 4 1
707 0 16
708 1 0
709 0 1
710 4 3
711 5 13
712 6 7
713 1 3
714 1 0
715 0 10
716 0 1
717 1 9
718 34 23
719 0 3
720 0 4
721 1 21
722 0 19
723 0 19
724 1 0
725 25 5
726 3 18
727 0 1
728 0 1
729 1 4
730 6 3
731 20 19
732 3 14
733 0 2
734 0 2
735 1 11
736 0 0
737 70 16
738 0 0
739 0 2
740 0 0
741 0 10
742 0 1
743 8 6
744 1 2
745 0 8
746 9 39
747 1 1
748 1 8
749 0 4
750 1 4
751 0 13
752 0 7
753 9 21
754 0 4
755 0 6
756 0 3
757 0 0
758 2 15
759 1 7
760 2 4
761 243 142
762 0 13
763 38 62
764 0 0
765 59 5
766 4 21
767 1 15
768 23 25
769 31 43
770 0 0
771 5 12
772 64 236
773 20 55
774 199 138
775 11 3
776 7 1
777 0 0
778 0 1
779 0 4
780 0 0
781 0 0
782 1 7
783 0 10
784 6 20
785 7 3
786 1 1
787 278 134
788 1 2
789 1 7
790 3 0
791 2 1
792 0 0
793 0 2
794 0 5
795 0 8
796 1 1
797 0 0
798 0 4
799 1 6
800 36 37
801 1 5
802 1 25
803 0 5
804 2 0
805 1 3
806 19 32
807 0 9
808 1 5
809 0 5
810 1 2
811 27 14
812 1 4
813 2 9
814 12 5
815 312 44
816 1 13
817 507 213
818 203 86
819 54 20
820 1 9
821 2 5
822 8 10
823 3 2
824 0 1
825 1 15
826 0 2
827 1 0
828 1 0
829 0 3
830 0 5
831 36 56
832 0 0
833 0 3
834 1 0
835 1 1
836 1 2
837 1 1
838 6 1
839 0 1
840 0 2
841 0 1
842 137 7
843 21 5
844 10 4
845 5 10
846 13 44
847 1 7
848 0 3
849 1 1
850 0 1
851 0 4
852 0 1
853 0 10
854 0 0
855 0 3
856 0 2
857 0 1
858 1 3
859 6 7
860 1 1
861 1 10
862 165 399
863 0 3
864 1 57
865 12 2
866 8 15
867 11 1
868 12 1
869 7 25
870 0 2
871 4 4
872 5 8
873 0 13
874 3 28
875 20 20
876 1 11
877 1 4
878 17 85
879 1 1
880 0 6
881 299 39
882 1 3
883 0 25
884 0 5
885 0 2
886 0 8
887 1 4
888 0 5
889 25 4
890 1 5
891 0 1
892 1 1
893 0 3
894 48 27
895 0 8
896 2 2
897 0 16
898 1 6
899 2 3
900 20 19
901 1 2
902 4 0
903 0 4
904 0 2
905 0 3
906 0 5
907 1 0
908 1 2
909 8 6
910 0 1
911 1 1
912 5 10
913 324 45
914 1 1
915 0 4
916 0 1
917 4 4
918 1 0
919 1 3
920 0 4
921 1 6
922 1 2
923 2 0
924 0 2
925 0 4
926 0 3
927 0 6
928 23 19
929 0 32
930 1 2
931 0 6
932 0 0
933 0 0
934 1 12
935 1 6
936 12 17
937 1 5
938 0 4
939 1 1
940 0 4
941 0 1
942 22 19
943 1 39
944 1 5
945 363 15
946 21 19
947 0 2
948 13 3
949 0 4
950 1 8
951 0 2
952 2 0
953 0 2
954 1 0
955 2 10
956 1 11
957 5 7
958 1 6
959 21 19
960 0 0
961 0 1
962 0 6
963 3 11
964 0 1
965 224 34
966 0 3
967 0 6
968 0 2
969 0 0
970 10 79
971 1 7
972 1 2
973 0 4
974 1 11
975 0 0
976 36 37
977 0 9
978 5 1
979 0 4
980 1 5
981 5 9
982 4 1
983 0 5
984 0 2
985 22 35
986 1 0
987 0 0
988 1 8
989 1 1
990 862 532
991 0 0
992 0 2
993 0 2
994 0 3
995 1 4
996 3 5
997 0 5
998 2 16
999 0 5
1000 0 0
1001 8 6
1002 5 3
1003 1 0
1004 1 1
1005 107 33
1006 107 67
1007 1 3
1008 5 11
1009 0 3
1010 168 46
1011 13 11
1012 1 1
1013 14 20
1014 14 8
1015 1 11
1016 90 131
1017 25 3
1018 32 59
1019 13 2
1020 0 8
1021 10 1
1022 13 1
1023 12 25
1024 357 152
1025 0 1
1026 17 18
1027 36 37
1028 2 11
1029 1 2
1030 8 37
1031 0 5
1032 1 1
1033 0 23
1034 0 6
1035 0 2
1036 2 2
1037 0 3
1038 3 21
